"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N5","学校","がっこう","","school",""
"word","Jisho-N5","川","かわ","","river; stream",""
"word","Jisho-N5","手","て","","hand; arm",""
"word","Jisho-N5","戸","と","","door (esp. Japanese-style); shutter; window shutter",""
"word","Jisho-N5","","メガネ","","glasses; eyeglasses; spectacles",""
"word","Jisho-N5","煙草","タバコ","","tobacco; cigarette; cigar",""
"word","Jisho-N5","赤","あか","","red; crimson; scarlet",""
"word","Jisho-N5","仕事","しごと","","work; job; labor",""
"word","Jisho-N5","英語","えいご","","English (language)",""
"word","Jisho-N5","問題","もんだい","","question (e.g. on a test); problem",""
"word","Jisho-N5","部屋","へや","","room; chamber",""
"word","Jisho-N5","子供","こども","","child; children",""
"word","Jisho-N5","時間","じかん","","time; hour",""
"word","Jisho-N5","雨","あめ","","rain; rainy day; rainy weather",""
"word","Jisho-N5","先生","せんせい","","teacher; instructor; master",""
"word","Jisho-N5","年","とし","","year; age; years",""
"word","Jisho-N5","手紙","てがみ","","letter; note",""
"word","Jisho-N5","電話","でんわ","","telephone call; phone call",""
"word","Jisho-N5","水","みず","","water (esp. cool or cold); fluid (esp. in an animal tissue); liquid",""
"word","Jisho-N5","病気","びょうき","","illness (usu. excluding minor ailments, e.g. common cold); disease; sickness",""
"word","Jisho-N5","会社","かいしゃ","","company; corporation; firm",""
"word","Jisho-N5","結婚","けっこん","","marriage",""
"word","Jisho-N5","言葉","ことば","","language; dialect",""
"word","Jisho-N5","目","め","","eye; eyeball",""
"word","Jisho-N5","走る","はしる","","to run; to run (of a vehicle); to drive",""
"word","Jisho-N5","名前","なまえ","","name; given name; first name",""
"word","Jisho-N5","旅行","りょこう","","travel; trip; journey",""
"word","Jisho-N5","道","みち","","road; path; street",""
"word","Jisho-N5","飛行機","ひこうき","","airplane; aeroplane; plane",""
"word","Jisho-N5","映画","えいが","","movie; film; motion picture",""
"word","Jisho-N5","音楽","おんがく","","music",""
"word","Jisho-N5","木","き","","tree; shrub; bush",""
"word","Jisho-N5","大学","だいがく","","university; college",""
"word","Jisho-N5","時計","とけい","","clock; watch; timepiece",""
"word","Jisho-N5","家族","かぞく","","family",""
"word","Jisho-N5","花","はな","","flower; blossom; bloom",""
"word","Jisho-N5","猫","ねこ","","cat (esp. the domestic cat, Felis catus); feline",""
"word","Jisho-N5","毎日","まいにち","","every day; daily",""
"word","Jisho-N5","宿題","しゅくだい","","homework; assignment",""
"word","Jisho-N5","雪","ゆき","","snow; snowfall",""
"word","Jisho-N5","山","やま","","mountain; hill",""
"word","Jisho-N5","窓","まど","","window",""
"word","Jisho-N5","動物","どうぶつ","","animal",""
"word","Jisho-N5","夜","よる","","night; evening",""
"word","Jisho-N5","料理","りょうり","","cooking; cookery; cuisine",""
"word","Jisho-N5","夏","なつ","","summer",""
"word","Jisho-N5","新聞","しんぶん","","newspaper",""
"word","Jisho-N5","公園","こうえん","","(public) park",""
"word","Jisho-N5","意味","いみ","","meaning; significance; sense",""
"word","Jisho-N5","自転車","じてんしゃ","","bicycle; bike",""
"word","Jisho-N5","足","あし","","foot; paw; arm (of an octopus, squid, etc.)",""
"word","Jisho-N5","電車","でんしゃ","","train; electric train",""
"word","Jisho-N5","散歩","さんぽ","","walk; stroll",""
"word","Jisho-N5","声","こえ","","voice; singing (of a bird); chirping (of an insect)",""
"word","Jisho-N5","朝","あさ","","morning; breakfast",""
"word","Jisho-N5","歌","うた","","song; singing",""
"word","Jisho-N5","靴","くつ","","shoe; shoes; boots",""
"word","Jisho-N5","箱","はこ","","box; case; chest",""
"word","Jisho-N5","机","つくえ","","desk",""
"word","Jisho-N5","帽子","ぼうし","","hat; cap",""
"word","Jisho-N5","海","うみ","","sea; ocean; waters",""
"word","Jisho-N5","授業","じゅぎょう","","lesson; class; teaching",""
"word","Jisho-N5","銀行","ぎんこう","","bank; banking institution",""
"word","Jisho-N5","写真","しゃしん","","photograph; photo; picture",""
"word","Jisho-N5","冬","ふゆ","","winter",""
"word","Jisho-N5","村","むら","","village",""
"word","Jisho-N5","傘","かさ","","umbrella; parasol",""
"word","Jisho-N5","口","くち","","mouth; opening; hole",""
"word","Jisho-N5","橋","はし","","bridge",""
"word","Jisho-N5","病院","びょういん","","hospital; clinic; doctor's office",""
"word","Jisho-N5","図書館","としょかん","","library",""
"word","Jisho-N5","春","はる","","spring; springtime",""
"word","Jisho-N5","買い物","かいもの","","shopping; purchased goods",""
"word","Jisho-N5","椅子","いす","","chair; seat; stool",""
"word","Jisho-N5","自動車","じどうしゃ","","car; automobile; motorcar",""
"word","Jisho-N5","色","いろ","","colour; color; hue",""
"word","Jisho-N5","卵","たまご","","eggs; egg; spawn",""
"word","Jisho-N5","肉","にく","","flesh; meat",""
"word","Jisho-N5","風邪","かぜ","","(common) cold; influenza; flu",""
"word","Jisho-N5","掃除","そうじ","","cleaning; sweeping; dusting",""
"word","Jisho-N5","紙","かみ","","paper",""
"word","Jisho-N5","鍵","かぎ","","key; lock",""
"word","Jisho-N5","雑誌","ざっし","","magazine; journal; periodical",""
"word","Jisho-N5","切符","きっぷ","","ticket",""
"word","Jisho-N5","外国人","がいこくじん","","foreigner; foreign citizen; foreign national",""
"word","Jisho-N5","財布","さいふ","","wallet; purse; coin purse",""
"word","Jisho-N5","鉛筆","えんぴつ","","(wooden) pencil",""
"word","Jisho-N5","大人","おとな","","adult; grown-up",""
"word","Jisho-N5","地図","ちず","","map; atlas; chart",""
"word","Jisho-N5","塩","しお","","salt; common salt; table salt",""
"word","Jisho-N5","砂糖","さとう","","sugar",""
"word","Jisho-N5","夏休み","なつやすみ","","summer vacation; summer holiday",""
