"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N2","箸","はし","","chopsticks",""
"word","Jisho-N2","茶碗","ちゃわん","","rice bowl; tea cup; teacup",""
"word","Jisho-N2","上げる","あげる","","to raise; to elevate",""
"word","Jisho-N2","石鹸","せっけん","","soap",""
"word","Jisho-N2","髭","ひげ","","moustache; mustache; beard",""
"word","Jisho-N2","機械","きかい","","machine; mechanism",""
"word","Jisho-N2","羽","はね","","feather; plume; down",""
"word","Jisho-N2","儀式","ぎしき","","ceremony; rite; ritual",""
"word","Jisho-N2","南極","なんきょく","","South Pole; the Antarctic; Antarctica",""
"word","Jisho-N2","職人","しょくにん","","craftsman; artisan; tradesman",""
"word","Jisho-N2","北極","ほっきょく","","North Pole; the Arctic",""
"word","Jisho-N2","昼寝","ひるね","","(afternoon) nap; sleeping during the day; siesta",""
"word","Jisho-N2","新幹線","しんかんせん","","Shinkansen; bullet train",""
"word","Jisho-N2","木材","もくざい","","lumber; timber; wood",""
"word","Jisho-N2","大通り","おおどおり","","main street; avenue; boulevard",""
"word","Jisho-N2","運河","うんが","","(navigable) canal; waterway",""
"word","Jisho-N2","遊園地","ゆうえんち","","amusement park",""
"word","Jisho-N2","天皇","てんのう","","Emperor of Japan",""
"word","Jisho-N2","蛇口","じゃぐち","","faucet; tap",""
"word","Jisho-N2","溶岩","ようがん","","lava",""
"word","Jisho-N2","武士","ぶし","","samurai; warrior",""
"word","Jisho-N2","苗字","みょうじ","","surname; family name; last name",""
"word","Jisho-N2","有る","ある","","to be; to exist; to live",""
"word","Jisho-N2","作る","つくる","","to make; to produce; to manufacture",""
"word","Jisho-N2","長い","ながい","","long (distance, length); long (time); protracted",""
"word","Jisho-N2","立つ","たつ","","to stand (up); to rise; to get to one's feet",""
"word","Jisho-N2","上る","のぼる","","to ascend; to go up; to climb",""
"word","Jisho-N2","飛ぶ","とぶ","","to fly; to soar",""
"word","Jisho-N2","止まる","とまる","","to stop (moving); to come to a stop",""
"word","Jisho-N2","勤める","つとめる","","to work (for); to be employed (at); to serve (in)",""
"word","Jisho-N2","丸い","まるい","","round; circular; spherical",""
"word","Jisho-N2","一昨年","おととし","","year before last",""
"word","Jisho-N2","会う","あう","","to meet; to encounter; to see",""
"word","Jisho-N2","分かる","わかる","","to understand; to comprehend; to grasp",""
"word","Jisho-N2","出かける","でかける","","to go out (e.g. on an excursion or outing); to leave; to depart",""
"word","Jisho-N2","付ける","つける","","to attach; to join; to connect",""
"word","Jisho-N2","無くす","なくす","","to lose (something); to get rid of; to eliminate",""
"word","Jisho-N2","奥さん","おくさん","","wife; your wife; his wife",""
"word","Jisho-N2","再来年","さらいねん","","year after next",""
"word","Jisho-N2","面接","めんせつ","","interview (e.g. for a job)",""
"word","Jisho-N2","資料","しりょう","","material; materials; data",""
"word","Jisho-N2","望遠鏡","ぼうえんきょう","","telescope",""
"word","Jisho-N2","群れ","むれ","","group; crowd; flock",""
"word","Jisho-N2","唇","くちびる","","lip; lips",""
"word","Jisho-N2","解放","かいほう","","release; unleashing; liberation",""
"word","Jisho-N2","液体","えきたい","","liquid",""
"word","Jisho-N2","書店","しょてん","","bookshop; bookstore",""
"word","Jisho-N2","温泉","おんせん","","hot spring; onsen; hot spring resort",""
"word","Jisho-N2","井戸","いど","","water well",""
"word","Jisho-N2","過失","かしつ","","accident (caused by negligence); error; blunder",""
"word","Jisho-N2","広場","ひろば","","public square; square; plaza",""
"word","Jisho-N2","通勤","つうきん","","commuting to work",""
"word","Jisho-N2","演劇","えんげき","","drama; theatre; theater",""
"word","Jisho-N2","果実","かじつ","","fruit; nut; berry",""
"word","Jisho-N2","垣根","かきね","","hedge; fence",""
"word","Jisho-N2","煙突","えんとつ","","chimney; smokestack; funnel (of a ship)",""
"word","Jisho-N2","宣伝","せんでん","","publicity; advertisement; advertising",""
"word","Jisho-N2","電池","でんち","","battery; cell",""
"word","Jisho-N2","皮膚","ひふ","","skin",""
"word","Jisho-N2","矛盾","むじゅん","","contradiction; inconsistency",""
"word","Jisho-N2","乾燥","かんそう","","dryness; aridity; drying (e.g. clothes)",""
"word","Jisho-N2","乾杯","かんぱい","","cheers; bottoms-up; prosit",""
"word","Jisho-N2","競馬","けいば","","horse racing",""
"word","Jisho-N2","枕","まくら","","pillow; bolster",""
"word","Jisho-N2","吹雪","ふぶき","","snow storm; blizzard",""
"word","Jisho-N2","水素","すいそ","","hydrogen (H)",""
"word","Jisho-N2","車庫","しゃこ","","garage; carport; depot (for trains, buses, etc.)",""
"word","Jisho-N2","回転","かいてん","","rotation; revolution; turn",""
"word","Jisho-N2","虹","にじ","","rainbow",""
"word","Jisho-N2","火山","かざん","","volcano",""
"word","Jisho-N2","中世","ちゅうせい","","Middle Ages (in Japan esp. the Kamakura and Muromachi periods); medieval times; mediaeval times",""
"word","Jisho-N2","基礎","きそ","","foundation; basis",""
"word","Jisho-N2","通貨","つうか","","currency",""
"word","Jisho-N2","相撲","すもう","","sumo (wrestling); sumo wrestler; rikishi",""
"word","Jisho-N2","観念","かんねん","","idea; notion; concept",""
"word","Jisho-N2","花火","はなび","","fireworks",""
"word","Jisho-N2","停電","ていでん","","power outage; power failure; power cut",""
"word","Jisho-N2","角度","かくど","","angle",""
"word","Jisho-N2","鐘","かね","","bell (often a large hanging bell); chime",""
"word","Jisho-N2","毛皮","けがわ","","fur; skin; pelt",""
"word","Jisho-N2","政党","せいとう","","political party",""
"word","Jisho-N2","公害","こうがい","","pollution; public nuisance; contamination",""
"word","Jisho-N2","空想","くうそう","","daydream; fantasy; fancy",""
"word","Jisho-N2","商業","しょうぎょう","","commerce; trade; business",""
"word","Jisho-N2","公式","こうしき","","official; formal",""
"word","Jisho-N2","百科事典","ひゃっかじてん","","encyclopedia; encyclopaedia",""
"word","Jisho-N2","名所","めいしょ","","famous place; noted place; place of (scenic or historical) interest",""
"word","Jisho-N2","牧場","ぼくじょう","","farm (livestock); stock farm; ranch",""
"word","Jisho-N2","公共","こうきょう","","public (facilities, service, etc.); communal",""
"word","Jisho-N2","足跡","あしあと","","footprints; record of page visitors (e.g. in social networking sites)",""
"word","Jisho-N2","姿勢","しせい","","posture; pose; position",""
"word","Jisho-N2","死体","したい","","dead body; corpse; cadaver",""
"word","Jisho-N2","強化","きょうか","","strengthening; intensifying; reinforcement",""
"word","Jisho-N2","蒸気","じょうき","","steam; vapour; vapor",""
"word","Jisho-N2","車輪","しゃりん","","(vehicle) wheel",""
"word","Jisho-N2","血液","けつえき","","blood",""
"word","Jisho-N2","森林","しんりん","","forest; woods",""
"word","Jisho-N2","神話","しんわ","","myth; mythology",""
"word","Jisho-N2","看板","かんばん","","signboard; sign; billboard",""
"word","Jisho-N2","薬局","やっきょく","","pharmacy; drugstore; chemist's (shop)",""
"word","Jisho-N2","大工","だいく","","carpenter",""
"word","Jisho-N2","磁石","じしゃく","","magnet; compass",""
"word","Jisho-N2","乗り換え","のりかえ","","transfer (trains, buses, etc.); change; connection",""
"word","Jisho-N2","消化","しょうか","","digestion (of food); digestion (of information); assimilation",""
"word","Jisho-N2","文体","ぶんたい","","literary style; form of (written) language (e.g. classical, modern)",""
"word","Jisho-N2","東洋","とうよう","","the East; the Orient; (East) Asia",""
"word","Jisho-N2","顕微鏡","けんびきょう","","microscope",""
"word","Jisho-N2","滝","たき","","waterfall; rapids",""
"word","Jisho-N2","電力","でんりょく","","electric power",""
"word","Jisho-N2","家屋","かおく","","house; building",""
"word","Jisho-N2","酢","す","","vinegar",""
"word","Jisho-N2","方言","ほうげん","","dialect; provincialism",""
"word","Jisho-N2","面積","めんせき","","area (measurement); square measure; size (of land)",""
"word","Jisho-N2","撮影","さつえい","","photography (still or motion); photographing; filming",""
"word","Jisho-N2","寮","りょう","","hostel; dormitory",""
"word","Jisho-N2","診断","しんだん","","diagnosis; medical examination",""
"word","Jisho-N2","刺身","さしみ","","sashimi (raw sliced fish, shellfish or crustaceans)",""
"word","Jisho-N2","血圧","けつあつ","","blood pressure",""
"word","Jisho-N2","楽器","がっき","","musical instrument",""
"word","Jisho-N2","将棋","しょうぎ","","shogi; Japanese chess",""
"word","Jisho-N2","伝記","でんき","","biography; life story",""
"word","Jisho-N2","無限","むげん","","infinity; infinitude; eternity",""
"word","Jisho-N2","反省","はんせい","","reflection; reconsideration; introspection",""
"word","Jisho-N2","継続","けいぞく","","continuation; continuance; maintenance",""
"word","Jisho-N2","直線","ちょくせん","","straight line",""
"word","Jisho-N2","給与","きゅうよ","","pay; salary; wages",""
"word","Jisho-N2","国籍","こくせき","","nationality; citizenship",""
"word","Jisho-N2","噴火","ふんか","","eruption; volcanic eruption",""
"word","Jisho-N2","倉庫","そうこ","","storehouse; warehouse; godown",""
"word","Jisho-N2","姓","せい","","surname; family name",""
"word","Jisho-N2","明け方","あけがた","","dawn; daybreak",""
"word","Jisho-N2","包装","ほうそう","","packing; wrapping",""
"word","Jisho-N2","手首","てくび","","wrist",""
"word","Jisho-N2","香水","こうすい","","perfume; scent",""
"word","Jisho-N2","銅","どう","","copper (Cu); bronze (medal)",""
"word","Jisho-N2","彫刻","ちょうこく","","carving; engraving; sculpture",""
"word","Jisho-N2","電柱","でんちゅう","","utility pole; power pole; telephone pole",""
"word","Jisho-N2","分布","ぶんぷ","","distribution",""
"word","Jisho-N2","太鼓","たいこ","","drum",""
"word","Jisho-N2","包丁","ほうちょう","","kitchen knife; cooking; food",""
"word","Jisho-N2","統一","とういつ","","unity; consolidation; uniformity",""
"word","Jisho-N2","行列","ぎょうれつ","","line; queue; procession",""
"word","Jisho-N2","手前","てまえ","","before oneself; in front of one; nearby",""
"word","Jisho-N2","深夜","しんや","","late at night",""
"word","Jisho-N2","竹","たけ","","bamboo (any grass of subfamily Bambusoideae); middle (of a three-tier ranking system)",""
"word","Jisho-N2","煮る","にる","","to boil; to simmer; to stew",""
"word","Jisho-N2","引き分け","ひきわけ","","draw (in competition); tie game",""
"word","Jisho-N2","記号","きごう","","sign; symbol; mark",""
"word","Jisho-N2","学年","がくねん","","academic year; school year",""
"word","Jisho-N2","先祖","せんぞ","","ancestor; forefather; foremother",""
"word","Jisho-N2","商社","しょうしゃ","","trading company",""
"word","Jisho-N2","表紙","ひょうし","","cover (of a book, magazine, etc.); binding",""
"word","Jisho-N2","園芸","えんげい","","horticulture; gardening",""
"word","Jisho-N2","和服","わふく","","Japanese clothes",""
"word","Jisho-N2","漁師","りょうし","","fisherman",""
"word","Jisho-N2","算数","さんすう","","arithmetic; calculation",""
"word","Jisho-N2","口紅","くちべに","","lipstick",""
"word","Jisho-N2","電球","でんきゅう","","light bulb",""
"word","Jisho-N2","淡水","たんすい","","fresh water (i.e. not salt water)",""
"word","Jisho-N2","古典","こてん","","classic (work, esp. book); the classics",""
"word","Jisho-N2","測定","そくてい","","measurement",""
"word","Jisho-N2","平日","へいじつ","","weekday; ordinary days (i.e. non-holiday)",""
"word","Jisho-N2","中年","ちゅうねん","","middle-age; middle age; midlife",""
"word","Jisho-N2","原理","げんり","","principle; theory; fundamental truth",""
"word","Jisho-N2","宴会","えんかい","","party; banquet; reception",""
"word","Jisho-N2","光線","こうせん","","ray (of light); beam; light",""
