"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N3","周り","まわり","","circumference; girth",""
"word","Jisho-N3","川","かわ","","river; stream",""
"word","Jisho-N3","夜","よる","","night; evening",""
"word","Jisho-N3","散歩","さんぽ","","walk; stroll",""
"word","Jisho-N3","椅子","いす","","chair; seat; stool",""
"word","Jisho-N3","鍵","かぎ","","key; lock",""
"word","Jisho-N3","風呂","ふろ","","bath; bathing; bathtub",""
"word","Jisho-N3","曇り","くもり","","cloudiness; cloudy weather",""
"word","Jisho-N3","成る","なる","","to become; to get; to grow",""
"word","Jisho-N3","程","ほど","","extent; degree; measure",""
"word","Jisho-N3","船","ふね","","ship; boat; watercraft",""
"word","Jisho-N3","音","おと","","sound; noise",""
"word","Jisho-N3","故障","こしょう","","fault; trouble; breakdown",""
"word","Jisho-N3","生産","せいさん","","production; manufacture",""
"word","Jisho-N3","入学","にゅうがく","","admission (to a school or university); entrance; enrolment",""
"word","Jisho-N3","喧嘩","けんか","","quarrel; brawl; fight",""
"word","Jisho-N3","正直","しょうじき","","honest; frank; candid",""
"word","Jisho-N3","一致","いっち","","agreement; accord; correspondence",""
"word","Jisho-N3","博物館","はくぶつかん","","museum",""
"word","Jisho-N3","皿","さら","","plate; dish; platter",""
"word","Jisho-N3","舞台","ぶたい","","stage (of a theatre, concert hall, etc.); stage performance; stage production",""
"word","Jisho-N3","寄付","きふ","","contribution; donation",""
"word","Jisho-N3","猿","さる","","monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate",""
"word","Jisho-N3","平等","びょうどう","","equality; impartiality; evenness",""
"word","Jisho-N3","左右","さゆう","","left and right; right and left",""
"word","Jisho-N3","金属","きんぞく","","metal",""
"word","Jisho-N3","商人","しょうにん","","merchant; trader; tradesman",""
"word","Jisho-N3","国境","こっきょう","","border (between countries); national border",""
"word","Jisho-N3","集団","しゅうだん","","group; mass",""
"word","Jisho-N3","根","ね","","root (of a plant); root (of a tooth, hair, etc.); center (of a pimple, etc.)",""
"word","Jisho-N3","鎖","くさり","","chain; chains",""
"word","Jisho-N3","一番","いちばん","","number one; first; first place",""
"word","Jisho-N3","時","とき","","time; hour; moment",""
"word","Jisho-N3","元","もと","","origin; source; beginning",""
"word","Jisho-N3","計画","けいかく","","plan; project; schedule",""
"word","Jisho-N3","少年","しょうねん","","boy; juvenile; child",""
"word","Jisho-N3","列車","れっしゃ","","train; railway train",""
"word","Jisho-N3","健康","けんこう","","health; healthy; sound",""
"word","Jisho-N3","人間","にんげん","","human being; human; person",""
"word","Jisho-N3","結果","けっか","","result; consequence; outcome",""
"word","Jisho-N3","理解","りかい","","understanding; comprehension; appreciation",""
"word","Jisho-N3","少女","しょうじょ","","girl (usu. between 7 and 17); young lady",""
"word","Jisho-N3","事実","じじつ","","fact; truth; reality",""
"word","Jisho-N3","食事","しょくじ","","meal (e.g. lunch, dinner); diet",""
"word","Jisho-N3","人生","じんせい","","(one's) life",""
"word","Jisho-N3","母親","ははおや","","mother",""
"word","Jisho-N3","行動","こうどう","","action; conduct; behaviour",""
"word","Jisho-N3","父親","ちちおや","","father",""
"word","Jisho-N3","太陽","たいよう","","Sun",""
"word","Jisho-N3","幸福","こうふく","","happiness; well-being; joy",""
"word","Jisho-N3","政府","せいふ","","government; administration; ministry",""
"word","Jisho-N3","経験","けいけん","","experience",""
"word","Jisho-N3","責任","せきにん","","duty; responsibility (incl. supervision of staff)",""
"word","Jisho-N3","我慢","がまん","","endurance; patience; perseverance",""
"word","Jisho-N3","噂","うわさ","","rumour; rumor; report",""
"word","Jisho-N3","道路","どうろ","","road; highway",""
"word","Jisho-N3","機械","きかい","","machine; mechanism",""
"word","Jisho-N3","地球","ちきゅう","","Earth; the globe",""
"word","Jisho-N3","秘密","ひみつ","","secret; secrecy; confidentiality",""
"word","Jisho-N3","偶然","ぐうぜん","","coincidence; chance; accident",""
"word","Jisho-N3","情報","じょうほう","","information; news; report",""
"word","Jisho-N3","現在","げんざい","","the present; present time; now",""
"word","Jisho-N3","昼食","ちゅうしょく","","lunch; midday meal",""
"word","Jisho-N3","期待","きたい","","expectation; anticipation; hope",""
"word","Jisho-N3","丘","おか","","hill; height; knoll",""
"word","Jisho-N3","嵐","あらし","","storm; tempest",""
"word","Jisho-N3","運動","うんどう","","exercise; physical training; workout",""
"word","Jisho-N3","大統領","だいとうりょう","","president (of a country); big man; boss",""
"word","Jisho-N3","演説","えんぜつ","","speech; address",""
"word","Jisho-N3","神","かみ","","god; deity; divinity",""
"word","Jisho-N3","馬","うま","","horse; horse racing",""
"word","Jisho-N3","読書","どくしょ","","reading (books)",""
"word","Jisho-N3","詩","し","","poem; poetry; verse",""
"word","Jisho-N3","知識","ちしき","","knowledge; information",""
"word","Jisho-N3","都市","とし","","town; city; municipal",""
"word","Jisho-N3","収入","しゅうにゅう","","income; earnings; revenue",""
"word","Jisho-N3","嘘","うそ","","lie; fib; falsehood",""
"word","Jisho-N3","詩人","しじん","","poet",""
"word","Jisho-N3","涙","なみだ","","tear; tears; lachrymal secretion",""
