"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N1","","メガネ","","glasses; eyeglasses; spectacles",""
"word","Jisho-N1","煙草","タバコ","","tobacco; cigarette; cigar",""
"word","Jisho-N1","塩","しお","","salt; common salt; table salt",""
"word","Jisho-N1","黄色","きいろ","","yellow; amber",""
"word","Jisho-N1","灰皿","はいざら","","ashtray",""
"word","Jisho-N1","可愛い","かわいい","","cute; adorable; charming",""
"word","Jisho-N1","音","おと","","sound; noise",""
"word","Jisho-N1","赤ちゃん","あかちゃん","","baby; infant",""
"word","Jisho-N1","玩具","おもちゃ","","toy; (person or thing treated as a) plaything",""
"word","Jisho-N1","商人","しょうにん","","merchant; trader; tradesman",""
"word","Jisho-N1","国境","こっきょう","","border (between countries); national border",""
"word","Jisho-N1","少女","しょうじょ","","girl (usu. between 7 and 17); young lady",""
"word","Jisho-N1","釣り","つり","","fishing; angling",""
"word","Jisho-N1","銃","じゅう","","gun; firearm; small arms (e.g. rifle, pistol, etc)",""
"word","Jisho-N1","保証","ほしょう","","guarantee; security; assurance",""
"word","Jisho-N1","年寄り","としより","","old person; elderly person; senior citizen",""
"word","Jisho-N1","平均","へいきん","","average; mean",""
"word","Jisho-N1","雷","かみなり","","lightning; thunder; thunderbolt",""
"word","Jisho-N1","位置","いち","","place; position; location",""
"word","Jisho-N1","日付","ひづけ","","date; dating",""
"word","Jisho-N1","天皇","てんのう","","Emperor of Japan",""
"word","Jisho-N1","屡々","しばしば","","often; again and again; frequently",""
"word","Jisho-N1","","ネズミ","","mouse; rat",""
"word","Jisho-N1","良い","よい","","good; excellent; fine",""
"word","Jisho-N1","此の","この","","this; last (couple of years, etc.); these",""
"word","Jisho-N1","誰","だれ","","who",""
"word","Jisho-N1","作る","つくる","","to make; to produce; to manufacture",""
"word","Jisho-N1","貴方","あなた","","you; dear; honey",""
"word","Jisho-N1","行く","いく","","to go; to move (towards); to head (towards)",""
"word","Jisho-N1","終わる","おわる","","to end; to come to an end; to finish",""
"word","Jisho-N1","何の","どの","","which; what (way)",""
"word","Jisho-N1","余り","あまり","","remainder; remnant; rest",""
"word","Jisho-N1","面白い","おもしろい","","interesting; fascinating; intriguing",""
"word","Jisho-N1","体","からだ","","body; torso; trunk",""
"word","Jisho-N1","弟","おとうと","","younger brother; little brother; kid brother",""
"word","Jisho-N1","切り","きり","","end; finish; place to stop",""
"word","Jisho-N1","暇","ひま","","spare time; free time; leisure",""
"word","Jisho-N1","明るい","あかるい","","light; bright; well-lit",""
"word","Jisho-N1","始め","はじめ","","beginning; start; outset",""
"word","Jisho-N1","三","さん","","three; 3",""
"word","Jisho-N1","六","ろく","","six; 6",""
"word","Jisho-N1","其れ","それ","","that; it",""
"word","Jisho-N1","迚も","とても","","very; awfully; exceedingly",""
"word","Jisho-N1","此れ","これ","","this; this one",""
"word","Jisho-N1","何時も","いつも","","always; all the time; at all times",""
"word","Jisho-N1","沢山","たくさん","","a lot; lots; plenty",""
"word","Jisho-N1","何処","どこ","","where; what place",""
"word","Jisho-N1","何方","どなた","","who",""
"word","Jisho-N1","一寸","ちょっと","","a little; a bit; slightly",""
"word","Jisho-N1","何故","なぜ","","why; how; for what reason",""
"word","Jisho-N1","一日","いちにち","","one day; all day (long); the whole day",""
"word","Jisho-N1","如何して","どうして","","how; in what way; by what means",""
