"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N4","小学校","しょうがっこう","","primary school; elementary school; grade school",""
"word","Jisho-N4","西洋","せいよう","","the West; the Occident; Western countries",""
"word","Jisho-N4","先輩","せんぱい","","senior (at school, work, etc.); superior; elder",""
"word","Jisho-N4","注射","ちゅうしゃ","","injection; jab; shot",""
"word","Jisho-N4","坂","さか","","slope; incline; hill",""
"word","Jisho-N4","乗り物","のりもの","","vehicle; conveyance; (means of) transport",""
"word","Jisho-N4","旅館","りょかん","","ryokan; traditional Japanese inn",""
"word","Jisho-N4","林","はやし","","wood; woods; forest",""
"word","Jisho-N4","布団","ふとん","","futon; Japanese bedding consisting of a mattress and a duvet",""
"word","Jisho-N4","研究室","けんきゅうしつ","","laboratory; seminar room",""
"word","Jisho-N4","会議室","かいぎしつ","","conference room; council room",""
"word","Jisho-N4","柔道","じゅうどう","","judo",""
"word","Jisho-N4","中学校","ちゅうがっこう","","junior high school; middle school; lower secondary school",""
"word","Jisho-N4","高等学校","こうとうがっこう","","senior high school; high school",""
"word","Jisho-N4","花見","はなみ","","cherry blossom viewing; flower viewing",""
"word","Jisho-N4","公務員","こうむいん","","public employee; government employee; public-sector worker",""
"word","Jisho-N4","辞典","じてん","","dictionary; lexicon",""
"word","Jisho-N4","心","こころ","","mind; heart; spirit",""
"word","Jisho-N4","力","ちから","","force; strength; might",""
"word","Jisho-N4","喧嘩","けんか","","quarrel; brawl; fight",""
"word","Jisho-N4","天気予報","てんきよほう","","weather forecast; weather report",""
"word","Jisho-N4","髭","ひげ","","moustache; mustache; beard",""
"word","Jisho-N4","押入れ","おしいれ","","closet (built into the wall, usu. with sliding doors); (built-in) wardrobe",""
"word","Jisho-N4","味噌","みそ","","miso; fermented condiment usu. made from soybeans",""
"word","Jisho-N4","皆","みな","","everyone; everybody; all",""
"word","Jisho-N4","明日","あした","","tomorrow; near future",""
"word","Jisho-N4","掛ける","かける","","to hang up (e.g. a coat, a picture on the wall); to let hang; to suspend (from)",""
"word","Jisho-N4","降りる","おりる","","to descend (e.g. a mountain); to go down; to come down",""
"word","Jisho-N4","彼","かれ","","he; him",""
"word","Jisho-N4","客","きゃく","","guest; visitor",""
"word","Jisho-N4","祖父","そふ","","grandfather; old man",""
"word","Jisho-N4","高校","こうこう","","senior high school; high school",""
"word","Jisho-N4","近所","きんじょ","","neighbourhood; neighborhood; vicinity",""
"word","Jisho-N4","番組","ばんぐみ","","program (e.g. TV); programme",""
"word","Jisho-N4","見物","けんぶつ","","sightseeing; watching; viewing",""
"word","Jisho-N4","亜米利加","アメリカ","","(United States of) America; United States; US",""
"word","Jisho-N4","彼女","かのじょ","","she; her",""
"word","Jisho-N4","思う","おもう","","to think; to consider; to believe",""
"word","Jisho-N4","僕","ぼく","","I; me",""
"word","Jisho-N4","必要","ひつよう","","necessary; needed; essential",""
"word","Jisho-N4","見える","みえる","","to be seen; to be visible; to be in sight",""
"word","Jisho-N4","考える","かんがえる","","to think (about, of); to think over; to ponder",""
"word","Jisho-N4","為","ため","","good; advantage; benefit",""
"word","Jisho-N4","始める","はじめる","","to start; to begin; to commence",""
"word","Jisho-N4","受ける","うける","","to receive; to get",""
"word","Jisho-N4","美しい","うつくしい","","beautiful; pretty; lovely",""
"word","Jisho-N4","試験","しけん","","examination; exam; test",""
"word","Jisho-N4","親切","しんせつ","","kind; gentle; considerate",""
"word","Jisho-N4","失敗","しっぱい","","failure; mistake; blunder",""
"word","Jisho-N4","以上","いじょう","","not less than ...; ... and over; ... and above",""
"word","Jisho-N4","意見","いけん","","opinion; view; comment",""
"word","Jisho-N4","決して","けっして","","(not) ever; (not) by any means; (not) in the least",""
"word","Jisho-N4","十分","じゅうぶん","","enough; sufficient; plenty",""
"word","Jisho-N4","試合","しあい","","match; game; bout",""
"word","Jisho-N4","一生懸命","いっしょうけんめい","","very hard; with utmost effort; as hard as one can",""
"word","Jisho-N4","子","こ","","child; kid; teenager",""
"word","Jisho-N4","探す","さがす","","to search for; to look for; to hunt for",""
"word","Jisho-N4","急ぐ","いそぐ","","to hurry; to rush; to hasten",""
"word","Jisho-N4","選ぶ","えらぶ","","to choose; to select; to pick (out)",""
"word","Jisho-N4","送る","おくる","","to send; to dispatch; to forward",""
"word","Jisho-N4","必ず","かならず","","always; without exception; necessarily",""
"word","Jisho-N4","怒る","おこる","","to get angry; to get mad; to lose one's temper",""
"word","Jisho-N4","最近","さいきん","","recently; lately; these days",""
"word","Jisho-N4","払う","はらう","","to pay (e.g. money, bill); to brush off; to wipe away",""
"word","Jisho-N4","合う","あう","","to come together; to merge; to unite",""
"word","Jisho-N4","点","てん","","dot; spot; point",""
"word","Jisho-N4","決める","きめる","","to decide; to choose; to determine",""
"word","Jisho-N4","笑う","わらう","","to laugh; to smile",""
"word","Jisho-N4","最初","さいしょ","","beginning; outset; first",""
"word","Jisho-N4","反対","はんたい","","opposition; resistance; antagonism",""
"word","Jisho-N4","娘","むすめ","","daughter; girl (i.e. a young, unmarried woman)",""
"word","Jisho-N4","理由","りゆう","","reason; grounds; pretext",""
"word","Jisho-N4","喜ぶ","よろこぶ","","to be delighted; to be glad; to be pleased",""
"word","Jisho-N4","昔","むかし","","the old days; the past; former times",""
"word","Jisho-N4","約束","やくそく","","promise; agreement; arrangement",""
"word","Jisho-N4","思い出す","おもいだす","","to recall; to remember; to recollect",""
"word","Jisho-N4","変わる","かわる","","to change; to be transformed; to be altered",""
"word","Jisho-N4","正しい","ただしい","","right; correct",""
"word","Jisho-N4","落ちる","おちる","","to fall; to drop; to come down",""
"word","Jisho-N4","場所","ばしょ","","place; location; spot",""
"word","Jisho-N4","楽しむ","たのしむ","","to enjoy; to take pleasure in; to have a good time",""
"word","Jisho-N4","利用","りよう","","use; utilization; utilisation",""
"word","Jisho-N4","間に合う","まにあう","","to be in time (for); to serve (suit, meet) the purpose; to be good enough",""
"word","Jisho-N4","今度","こんど","","this time; now",""
"word","Jisho-N4","予定","よてい","","plans; arrangement; schedule",""
"word","Jisho-N4","訪ねる","たずねる","","to visit; to call on; to pay a visit to",""
"word","Jisho-N4","進む","すすむ","","to advance; to go forward",""
"word","Jisho-N4","赤ん坊","あかんぼう","","baby; infant",""
"word","Jisho-N4","最後","さいご","","end; conclusion",""
"word","Jisho-N4","向かう","むかう","","to face; to go towards; to head towards",""
"word","Jisho-N4","興味","きょうみ","","interest (in something); curiosity (about something); zest (for)",""
"word","Jisho-N4","通る","とおる","","to go by; to go past; to go along",""
"word","Jisho-N4","時代","じだい","","period; epoch; era",""
"word","Jisho-N4","途中","とちゅう","","on the way; en route",""
"word","Jisho-N4","返事","へんじ","","reply; answer; response",""
"word","Jisho-N4","簡単","かんたん","","simple; easy; uncomplicated",""
"word","Jisho-N4","深い","ふかい","","deep; profound",""
"word","Jisho-N4","起こす","おこす","","to raise; to raise up; to set up",""
"word","Jisho-N4","夫","おっと","","husband",""
"word","Jisho-N4","一度","いちど","","once; one time; on one occasion",""
"word","Jisho-N4","運ぶ","はこぶ","","to carry; to transport; to move",""
"word","Jisho-N4","今夜","こんや","","this evening; tonight",""
"word","Jisho-N4","盗む","ぬすむ","","to steal; to plagiarize; to steal (a technique, idea, etc.)",""
"word","Jisho-N4","習慣","しゅうかん","","habit; (social) custom; practice",""
"word","Jisho-N4","大抵","たいてい","","mostly; ordinarily; usually",""
